Software,UID,Query
PPT,001,Set the transitions of the second ppt to Push
PPT,002,Set US SUBMARINE DAY in the first ppt to No. 40
PPT,003,Middle align the text US SUBMARINE DAY in the first slide
PPT,004,Swap the first ppt and the second ppt
PPT,005,"Add a note to the second ppt, the content of the note is 123"
PPT,006,Replace all 'you' with 'UUU'
PPT,007,"Select all text and apply numbered list for them. Use '1, 2, 3' symbol of numbered list."
PPT,008,Change the line space of the full text in second slide from single to 1.5 lines
PPT,009,Insert a 3x3 table into the second slide
PPT,010,"Insert a text box, type 'MONA LISA,' set the font size to 138, and set the font to Arial Black"
PPT,011,Format the slide background with gradient fill
Word,012,Make the text around the table
Word,013,Replace all the 'Reading' in the text with 'RA'
Word,014,Change the line space of the full text from single to 1.25 lines
Word,015,Select all text and add bullets for them.
Word,016,Change the whole document from one column to two columns
Word,017,"Add headers to files, header content is 'AssistGUI'"
Word,018,Insert a numeric page number at the top right. Style is plain number 1.
Word,019,Change the picture in the original text to behind text
Word,020,Add text boxes with 'AssistGUI' below 'The Importance of Reading' in the Word document.
Word,021,"Add a 2x2 table at the end of the text, and the table content is blank"
Word,022,"Add comment to the first line of the article, the content of comment is 'GUICritic'"
Excel,023,Enter text 1234 into the cell of L2
Excel,024,"Clear the contents of the cell of A18, but do not delete the cell"
Excel,025,Delete the entire thirteenth line
Excel,026,Copy the contents of B15 to L15
Excel,027,Merge A1:K1
Excel,028,Split A1
Excel,029,Replace all '0' with 'zero'
Excel,030,Filter out the data with a value of 2.51 in column B1 (Imu0_linear_accleration_x)
Excel,031,Perform Group operation on the columns B1:D31
Excel,032,Perform Format as Table operation on A1:K31 and randomly select a table format.
Excel,033,Adjust column and row sizes to ensure all data is visible without any cutoffs
Excel,034,Check for duplicate values in an Excel table
Acrobat,035,"Edit PDF by removing selected text ""College of Design and Engineering""."
Acrobat,036,Set the document to Two Page View from the View menu.
Acrobat,037,Change the font of 'Department of Electrical and Computer Engineering ' to Arial.
Acrobat,038,"Add a web link to ‘College of Design and Engineering’ by selecting it, defining the link appearance, entering the URL, and finalizing the link."
Acrobat,039,Add a watermark by selecting 'Draft'.
Acrobat,040,Move the second page to the front and delete the last page.
Acrobat,041,Swap the first slide and the second slide.
Acrobat,042,"Sign ""GUICritic"" in the ""Signature of Student""."
Acrobat,043,"Sign ""GUICritic"" in the ""Signature of Student"" with ""signature.png""."
Acrobat,044,Add an image 'car.jpg' to the document then edit the image by flipping vertically.
Acrobat,045,Insert 'car.pdf' to the document before the first page.
VSCode,046,Create a new javascript file named 'guicritic.js' and save it
VSCode,047,Enable Auto Save in VSCode
VSCode,048,Customize VS Code with a new color theme
VSCode,049,Navigate to symbols within a file using the command palette
